file,site_id,year,high_rh_count,low_rh_count,median_pm25_high_rh,median_pm25_low_rh,high_low_ratio,suspected_humidity_bias
Raw_data_1Hr_2020_site_1426_Narela_Delhi_DPCC_1Hr.csv,1426,2020,1606,4141,94.0,72.5,1.296551724137931,False
Raw_data_1Hr_2020_site_1428_Okhla_Phase-2_Delhi_DPCC_1Hr.csv,1428,2020,1456,4293,42.625,58.0,0.7349137931034483,False
Raw_data_1Hr_2020_site_1429_Nehru_Nagar_Delhi_DPCC_1Hr.csv,1429,2020,1423,3993,94.75,62.75,1.5099601593625498,True
Raw_data_1Hr_2020_site_1430_Rohini_Delhi_DPCC_1Hr.csv,1430,2020,450,3796,186.25,63.0,2.9563492063492065,True
Raw_data_1Hr_2020_site_1431_Patparganj_Delhi_DPCC_1Hr.csv,1431,2020,559,3616,145.0,54.5,2.6605504587155964,True
Raw_data_1Hr_2020_site_1432_Sonia_Vihar_Delhi_DPCC_1Hr.csv,1432,2020,844,3504,164.375,52.0,3.1610576923076925,True
Raw_data_1Hr_2020_site_1434_Wazirpur_Delhi_DPCC_1Hr.csv,1434,2020,832,5794,103.0,64.0,1.609375,True
Raw_data_1Hr_2020_site_1435_Vivek_Vihar_Delhi_DPCC_1Hr.csv,1435,2020,1478,4052,117.75,63.0,1.869047619047619,True
Raw_data_1Hr_2020_site_1560_Bawana_Delhi_DPCC_1Hr.csv,1560,2020,245,3927,211.5,66.0,3.2045454545454546,True
Raw_data_1Hr_2020_site_1561_Mundka_Delhi_DPCC_1Hr.csv,1561,2020,240,4354,157.25,61.5,2.5569105691056913,True
Raw_data_1Hr_2020_site_1562_Sri_Aurobindo_Marg_Delhi_DPCC_1Hr.csv,1562,2020,2099,2813,56.5,50.0,1.13,False
Raw_data_1Hr_2020_site_1563_Pusa_Delhi_DPCC_1Hr.csv,1563,2020,285,3614,198.25,54.375,3.645977011494253,True
Raw_data_1Hr_2020_site_301_Anand_Vihar_Delhi_DPCC_1Hr.csv,301,2020,781,2922,150.0,68.5,2.18978102189781,True
Raw_data_1Hr_2020_site_5395_Lodhi_Road_Delhi_IITM_1Hr.csv,5395,2020,597,298,126.13,93.89,1.3433805517094473,False
Raw_data_1Hr_2021_site_113_Shadipur_Delhi_CPCB_1Hr.csv,113,2021,839,4861,26.88,62.33,0.4312530081822557,False
Raw_data_1Hr_2021_site_114_IHBAS_Dilshad_Garden_Delhi_CPCB_1Hr.csv,114,2021,1647,3809,68.22,64.38,1.0596458527493011,False
Raw_data_1Hr_2021_site_115_NSIT_Dwarka_Delhi_CPCB_1Hr.csv,115,2021,1583,3821,75.62,88.18,0.8575640734860512,False
Raw_data_1Hr_2021_site_118_DTU_Delhi_CPCB_1Hr.csv,118,2021,1391,3576,136.72,66.92500000000001,2.0428838251774373,True
Raw_data_1Hr_2021_site_119_Sirifort_Delhi_CPCB_1Hr.csv,119,2021,1137,2846,139.0,49.75,2.7939698492462313,True
Raw_data_1Hr_2021_site_122_Mandir_Marg_Delhi_DPCC_1Hr.csv,122,2021,2082,3171,54.0,74.25,0.7272727272727273,False
Raw_data_1Hr_2021_site_124_R_K_Puram_Delhi_DPCC_1Hr.csv,124,2021,469,3898,93.75,63.5,1.4763779527559056,False
Raw_data_1Hr_2021_site_125_Punjabi_Bagh_Delhi_DPCC_1Hr.csv,125,2021,612,4283,125.75,64.0,1.96484375,True
Raw_data_1Hr_2021_site_1420_Ashok_Vihar_Delhi_DPCC_1Hr.csv,1420,2021,1560,3628,148.125,59.0,2.510593220338983,True
Raw_data_1Hr_2021_site_1421_Dr._Karni_Singh_Shooting_Range_Delhi_DPCC_1Hr.csv,1421,2021,881,4055,42.75,53.5,0.7990654205607477,False
Raw_data_1Hr_2021_site_1422_Dwarka-Sector_8_Delhi_DPCC__1Hr.csv,1422,2021,493,4981,193.5,56.0,3.455357142857143,True
Raw_data_1Hr_2021_site_1423_Jahangirpuri_Delhi_DPCC_1Hr.csv,1423,2021,1202,3494,95.5,73.75,1.2949152542372881,False
Raw_data_1Hr_2021_site_1424_Jawaharlal_Nehru_Stadium_Delhi_DPCC_1Hr.csv,1424,2021,1464,3691,173.0,50.5,3.4257425742574257,True
Raw_data_1Hr_2021_site_1425_Major_Dhyan_Chand_National_Stadium_Delhi_DPCC_1Hr.csv,1425,2021,1105,3710,170.0,51.25,3.317073170731707,True
Raw_data_1Hr_2021_site_1426_Narela_Delhi_DPCC_1Hr.csv,1426,2021,1429,3620,161.5,62.0,2.6048387096774195,True
Raw_data_1Hr_2021_site_1427_Najafgarh_Delhi_DPCC_1Hr.csv,1427,2021,601,4007,136.25,44.0,3.096590909090909,True
Raw_data_1Hr_2021_site_1428_Okhla_Phase-2_Delhi_DPCC_1Hr.csv,1428,2021,843,4278,155.75,55.0,2.831818181818182,True
Raw_data_1Hr_2021_site_1429_Nehru_Nagar_Delhi_DPCC_1Hr.csv,1429,2021,1728,3578,83.125,60.0,1.3854166666666667,False
Raw_data_1Hr_2021_site_1430_Rohini_Delhi_DPCC_1Hr.csv,1430,2021,842,3912,185.875,59.875,3.104384133611691,True
Raw_data_1Hr_2021_site_1431_Patparganj_Delhi_DPCC_1Hr.csv,1431,2021,1171,3834,148.5,67.75,2.1918819188191883,True
